Check,N_Wire,D_W,Measured,Force,Initial,Force_Max
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015631,2,0.016152,22
y,2,12.7,0.015296,4,0.016152,22
y,2,12.7,0.014645,6,0.016152,22
y,2,12.7,0.014101,8,0.016152,22
y,2,12.7,0.013796,10,0.016152,22
y,2,12.7,0.0131621,12,0.016152,22
y,2,12.7,0.01280155,14,0.016152,22
y,2,12.7,0.01231915,16,0.016152,22
y,2,12.7,0.011947415,18,0.016152,22
y,2,12.7,0.011620172,20,0.016152,22
y,2,12.7,0.01097154,22,0.016152,22
n,2,12.7,0.0118302,20,0.016152,22
n,2,12.7,0.012201,18,0.016152,22
n,2,12.7,0.012552,16,0.016152,22
n,2,12.7,0.0131024,14,0.016152,22
n,2,12.7,0.0136521,12,0.016152,22
n,2,12.7,0.0140182,10,0.016152,22
n,2,12.7,0.0144014,8,0.016152,22
n,2,12.7,0.0149285,6,0.016152,22
n,2,12.7,0.0155052,4,0.016152,22
n,2,12.7,0.015902,2,0.016152,22
n,2,12.7,0.016312,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015739016,2,0.016152,22
y,2,12.7,0.015213704,4,0.016152,22
y,2,12.7,0.014644344,6,0.016152,22
y,2,12.7,0.014224979,8,0.016152,22
y,2,12.7,0.013770698,10,0.016152,22
y,2,12.7,0.013376077,12,0.016152,22
y,2,12.7,0.012904527,14,0.016152,22
y,2,12.7,0.012401482,16,0.016152,22
y,2,12.7,0.011957395,18,0.016152,22
y,2,12.7,0.011514961,20,0.016152,22
y,2,12.7,0.010961205,22,0.016152,22
n,2,12.7,0.011649141,20,0.016152,22
n,2,12.7,0.012010663,18,0.016152,22
n,2,12.7,0.012489793,16,0.016152,22
n,2,12.7,0.013167329,14,0.016152,22
n,2,12.7,0.013663026,12,0.016152,22
n,2,12.7,0.014053037,10,0.016152,22
n,2,12.7,0.014423277,8,0.016152,22
n,2,12.7,0.014803273,6,0.016152,22
n,2,12.7,0.015482795,4,0.016152,22
n,2,12.7,0.015797269,2,0.016152,22
n,2,12.7,0.016364588,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015571162,2,0.016152,22
y,2,12.7,0.015217554,4,0.016152,22
y,2,12.7,0.01466768,6,0.016152,22
y,2,12.7,0.014175363,8,0.016152,22
y,2,12.7,0.013695691,10,0.016152,22
y,2,12.7,0.013137328,12,0.016152,22
y,2,12.7,0.012737362,14,0.016152,22
y,2,12.7,0.012164686,16,0.016152,22
y,2,12.7,0.01182816,18,0.016152,22
y,2,12.7,0.011472154,20,0.016152,22
y,2,12.7,0.010982441,22,0.016152,22
n,2,12.7,0.011747781,20,0.016152,22
n,2,12.7,0.012199386,18,0.016152,22
n,2,12.7,0.012472032,16,0.016152,22
n,2,12.7,0.012994285,14,0.016152,22
n,2,12.7,0.013488277,12,0.016152,22
n,2,12.7,0.013993977,10,0.016152,22
n,2,12.7,0.014481166,8,0.016152,22
n,2,12.7,0.015087887,6,0.016152,22
n,2,12.7,0.015594428,4,0.016152,22
n,2,12.7,0.016075804,2,0.016152,22
n,2,12.7,0.016421171,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015615898,2,0.016152,22
y,2,12.7,0.015313536,4,0.016152,22
y,2,12.7,0.014706618,6,0.016152,22
y,2,12.7,0.014275771,8,0.016152,22
y,2,12.7,0.013869681,10,0.016152,22
y,2,12.7,0.013130364,12,0.016152,22
y,2,12.7,0.012803868,14,0.016152,22
y,2,12.7,0.012455397,16,0.016152,22
y,2,12.7,0.011999381,18,0.016152,22
y,2,12.7,0.011580637,20,0.016152,22
y,2,12.7,0.010824521,22,0.016152,22
n,2,12.7,0.011772665,20,0.016152,22
n,2,12.7,0.012089584,18,0.016152,22
n,2,12.7,0.012535776,16,0.016152,22
n,2,12.7,0.013126761,14,0.016152,22
n,2,12.7,0.013645472,12,0.016152,22
n,2,12.7,0.014093969,10,0.016152,22
n,2,12.7,0.014515993,8,0.016152,22
n,2,12.7,0.014958148,6,0.016152,22
n,2,12.7,0.015433139,4,0.016152,22
n,2,12.7,0.015810926,2,0.016152,22
